awayTeam,homeTeam,awayScore,homeScore,season,team1points,team2points,pointDiff,team1TORating,TORatingDiff,team2TORating,team1RushMultiplier,team2RushMultiplier,RushMultDiff,AdjRushDiff,team1AdjRushRating,team2AdjRushRating,team1PassMultiplier,team2PassMultiplier,team1AdjPassRating,team2AdjPassRating,PassMultDiff,AdjPassDiff,FPI_diff,SOS_diff,AVGWP,totEfficiencyDiff,offEfficiencyDiff,defEfficiencyDiff,spread,spread_zscore
Dolphins,Giants,20,36,0.0,23.65,26.1,-2.450000000000003,1.1867135854867787,0.2517271241941652,0.9349864612926135,0.642587452438133,1.1184358242576804,-0.4758483718195474,-0.06800288246888475,0.9502752774228034,1.0182781598916881,1.1374923556072394,1.10830836732213,1.9043309839617057,1.6722571443553103,0.029183988285109486,0.2320738396063955,-1.1000000000000014,2.0,2.0,-0.10000000000000142,1.3000000000000043,-1.2000000000000028,-16,1.0876682809754024
Eagles,Washington,37,27,0.0,25.65,19.35,6.299999999999997,0.9756380465662055,-0.1997735047730803,1.1754115513392858,1.3899975228533594,0.6990127806758436,0.6909847421775158,0.12734342647235686,1.0602885159957804,0.9329450895234236,1.0367432075929333,0.7692792812947068,1.1977219078948333,0.26941401216569877,0.26746392629822646,0.9283078957291346,11.5,3.0,-11.0,23.6,28.2,10.5,10,0.6643936934128547
Seahawks,Panthers,30,24,0.0,27.35,23.1,4.25,1.1754115513392858,0.7346322195870536,0.4407793317522321,1.5478135100658001,1.0497864463893811,0.498027063676419,0.08213949998060066,1.0907098078405306,1.00857030785993,0.9911634435024422,1.0902671093993879,0.9565911952504398,1.5405101126768095,-0.09910366589694564,-0.5839189174263697,9.9,-4.0,-12.0,18.799999999999997,20.6,6.399999999999999,6,0.39484569735312286
Jaguars,Raiders,20,16,0.0,22.5,22.200000000000003,0.29999999999999716,1.6455761718750002,0.11717725062887041,1.5283989212461297,0.8218722062738141,1.2927063879349374,-0.47083418166112334,-0.07625576685324642,0.9685874537691548,1.0448432206224012,1.0926019371346536,1.0493944927770387,1.5570760719445669,1.2726058152882902,0.04320744435761492,0.2844702566562767,-2.0,-3.0,15.0,-6.300000000000004,-25.099999999999994,7.699999999999996,4,0.2600716993232569
Browns,Cardinals,24,38,0.0,24.25,23.6,0.6499999999999986,1.037127839417017,-0.334185637145483,1.3713134765625,1.1192406676717201,1.4120593319922077,-0.29281866432048753,-0.04900022519103309,1.0211823013259096,1.0701825265169427,1.1339969060328936,0.8536650741199221,1.8752507516220218,0.4533541209441604,0.2803318319129715,1.4218966306778613,1.0999999999999996,11.0,-2.0,2.1999999999999957,-11.700000000000003,11.399999999999999,-14,0.9528942829455365
Vikings,Chargers,39,10,0.0,23.5,20.0,3.5,1.7631173270089284,1.2494098852165247,0.5137074417924037,1.1795144966787097,0.7692608631034153,0.4102536335752943,0.06634433658594341,1.0345219143338162,0.9681775777478728,0.7988523169753129,1.170289340840846,0.3253362794401332,2.1951603373776,-0.371437023865533,-1.8698240579374668,5.7,-6.0,-18.0,15.700000000000003,10.5,15.299999999999997,29,1.9447466746965811
Rams,Cowboys,21,44,0.0,22.35,24.950000000000003,-2.6000000000000014,1.2099824793198533,0.06722124885110303,1.1427612304687502,0.7607535270164145,1.194185238910069,-0.43343171189365437,-0.06280822089165217,0.9664247536618579,1.02923297455351,1.1383113836903105,1.2185359270222569,1.9111967366252187,2.6865299820672357,-0.0802245433319464,-0.775333245442017,-2.5999999999999996,-26.0,-6.0,-1.8999999999999986,-17.6,9.400000000000006,-23,1.5593772740799332
Falcons,49ers,29,22,0.0,21.6,27.4,-5.799999999999997,0.7313671875,-0.3418346637228259,1.0732018512228259,0.7516782507425082,1.2536016665022964,-0.5019234157597883,-0.07869565638260878,0.9690327274524683,1.047728383835077,0.9028203431612999,1.0512484448907753,0.5998003048466068,1.2838870897161965,-0.1484281017294754,-0.6840867848695896,-6.3,-12.0,24.0,-27.0,-7.600000000000001,-32.3,7,0.4622326963680558
Bills,Steelers,17,10,0.0,19.25,17.15,2.1000000000000014,0.6837574121364266,-0.03171048867879067,0.7154679008152173,1.1039251093718028,0.7311241502213837,0.3728009591504191,0.07372437345791372,1.0213687935345024,0.9476444200765887,0.7112663014168413,0.6586594140253778,0.1820376268995696,0.12396655066215374,0.052606887391463575,0.05807107623741585,2.8,8.0,-11.0,6.200000000000003,15.2,-8.500000000000007,7,0.4622326963680558
Colts,Saints,7,34,0.0,21.950000000000003,25.950000000000003,-4.0,1.0220970011645962,-1.6609076268924687,2.683004628057065,0.9532632858397165,0.834020164470522,0.11924312136919457,0.015895561107189704,0.9892126595022729,0.9733170983950832,0.8509368520908858,1.195997802835364,0.4461559218028679,2.4471010820362142,-0.3450609507444782,-2.0009451602333463,-7.5,9.0,6.0,-19.9,-16.700000000000003,-3.1000000000000014,-27,1.828925270139665
